WIKIDATA,NAME,MS_FB_PARE,MS_FB
Q50736662,경상남도 비례대표 선거구,country:kr/province:48,country:kr/province:48/legislator-at-large
Q50736686,세종특별자치시 비례대표 선거구,country:kr/ssg-city:50,country:kr/ssg-city:50/legislator-at-large
Q50737036,대전광역시 비례대표 선거구,country:kr/met-city:30,country:kr/met-city:30/legislator-at-large
Q50737263,충청남도 비례대표 선거구,country:kr/province:44,country:kr/province:44/legislator-at-large
Q50737653,인천광역시 비례대표 선거구,country:kr/met-city:28,country:kr/met-city:28/legislator-at-large
Q50737718,충청북도 비례대표 선거구,country:kr/province:43,country:kr/province:43/legislator-at-large
Q50737825,부산광역시 비례대표 선거구,country:kr/met-city:26,country:kr/met-city:26/legislator-at-large
Q50737937,대구광역시 비례대표 선거구,country:kr/met-city:27,country:kr/met-city:27/legislator-at-large
Q50738033,제주특별자치도 비례대표 선거구,country:kr/ssg-province:49,country:kr/ssg-province:49/legislator-at-large
Q50738092,울산광역시 비례대표 선거구,country:kr/met-city:31,country:kr/met-city:31/legislator-at-large
Q50738590,광주광역시 비례대표 선거구,country:kr/met-city:29,country:kr/met-city:29/legislator-at-large
Q50739120,서울특별시 비례대표 선거구,country:kr/special-city:11,country:kr/special-city:11/legislator-at-large
Q50739265,경상북도 비례대표 선거구,country:kr/province:47,country:kr/province:47/legislator-at-large
Q50739662,경기도 비례대표 선거구,country:kr/province:41,country:kr/province:41/legislator-at-large
Q50739772,강원도 비례대표 선거구,country:kr/province:42,country:kr/province:42/legislator-at-large
Q50739830,전라남도 비례대표 선거구,country:kr/province:46,country:kr/province:46/legislator-at-large
Q50739972,전라북도 비례대표 선거구,country:kr/province:45,country:kr/province:45/legislator-at-large
